N	51.8491	-8.29956	P259	06 Oct 2022	P259\nCobh to Cork\nExpected Departure 23:00	To Cork
N	51.9018	-8.4582	B262	06 Oct 2022	B262\nCork to Mallow\nExpected Departure 23:00	To Mallow
N	53.1442	-6.06085	E703	06 Oct 2022	E703\nGreystones to Dublin Connolly\nExpected Departure 23:04	Northbound
N	53.3464	-6.29461	D221	06 Oct 2022	D221\nDublin Heuston to Kildare\nExpected Departure 23:10	To Kildare
N	53.378	-6.58993	P766	06 Oct 2022	P766\nMaynooth to Dublin Connolly\nExpected Departure 23:10	Southbound
N	53.3891	-6.07401	E135	06 Oct 2022	E135\nHowth to Greystones\nExpected Departure 23:05	Southbound
N	53.4349	-6.46898	P328	06 Oct 2022	P328\nM3 Parkway to Clonsilla\nExpected Departure 23:10	Southbound
R	52.1396	-8.65521	A314	06 Oct 2022	A314\n20:55 - Cork to Tralee (0 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.3468	-8.65362	A230	06 Oct 2022	A230\n21:00 - Dublin Heuston to Mallow (-4 mins late)\nDeparted Charleville next stop Mallow	To Mallow
R	52.6404	-8.52719	A450	06 Oct 2022	A450\n22:38 - Limerick Junction to Limerick (0 mins late)\nDeparted Killonan next stop Limerick	To Limerick
R	53.1454	-7.06361	D220	06 Oct 2022	D220\n22:10 - Dublin Heuston to Portlaoise (-3 mins late)\nArrived Monasterevin next stop Portarlington	To Portlaoise
R	53.163	-6.90802	P225	06 Oct 2022	P225\n22:30 - Portlaoise to Dublin Heuston (6 mins late)\nArrived Kildare next stop Newbridge	To Dublin Heuston
R	53.2043	-6.10046	E949	06 Oct 2022	E949\n23:00 - Bray to Howth (0 mins late)\nDeparted Bray next stop Shankill	Northbound
R	53.2469	-6.66386	A231	06 Oct 2022	A231\n20:25 - Cork to Dublin Heuston (15 mins late)\nDeparted Sallins next stop Dublin Heuston	To Dublin Heuston
R	53.2812	-6.12289	E133	06 Oct 2022	E133\n22:00 - Howth to Greystones (1 mins late)\nDeparted Glenageary next stop Dalkey	Southbound
R	53.2878	-6.12712	E848	06 Oct 2022	E848\n22:34 - Greystones to Malahide (0 mins late)\nArrived Sandycove next stop Dun Laoghaire	Northbound
R	53.3099	-6.19498	E262	06 Oct 2022	E262\n22:15 - Malahide to Bray (2 mins late)\nArrived Booterstown next stop Blackrock	Southbound
R	53.3206	-6.21112	E948	06 Oct 2022	E948\n22:30 - Bray to Howth (0 mins late)\nDeparted Sydney Parade next stop Sandymount	Northbound
R	53.334	-6.37868	A519	06 Oct 2022	A519\n21:36 - Carlow to Dublin Heuston (0 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	D423	06 Oct 2022	D423\n22:30 - Grand Canal Dock to Hazelhatch (0 mins late)\nArrived Park West and Cherry Orchard next stop Clondalkin	Southbound
R	53.3433	-6.24829	E134	06 Oct 2022	E134\n22:30 - Howth to Greystones (0 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	E847	06 Oct 2022	E847\n22:04 - Greystones to Malahide (1 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3632	-6.25908	P422	06 Oct 2022	P422\n22:35 - Hazelhatch to Grand Canal Dock (-2 mins late)\nArrived Drumcondra next stop Dublin Connolly	Northbound
R	53.3815	-6.17699	E263	06 Oct 2022	E263\n22:48 - Malahide to Bray (1 mins late)\nArrived Raheny next stop Harmonstown	Southbound
R	53.3815	-6.17699	E947	06 Oct 2022	E947\n22:00 - Bray to Howth (1 mins late)\nArrived Raheny next stop Kilbarrack	Northbound
R	53.4509	-6.15649	D828	06 Oct 2022	D828\n22:40 - Dublin Pearse to Dundalk (-2 mins late)\nArrived Malahide next stop Donabate	Northbound
R	54.0007	-6.41291	A136	06 Oct 2022	A136\n20:50 - Dublin Connolly to Belfast (7 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.1442	-6.06085	E132	06 Oct 2022	E132\n21:30 - Howth to Greystones(0 mins late)\nTERMINATED Greystones at 22:56	Southbound
T	53.2043	-6.10046	E261	06 Oct 2022	E261\n21:45 - Malahide to Bray(-5 mins late)\nTERMINATED Bray at 22:56	Southbound
T	53.3433	-6.24829	P682	06 Oct 2022	P682\n22:08 - Maynooth to Dublin Pearse(-2 mins late)\nTERMINATED Dublin Pearse at 22:55	Southbound
T	53.3531	-6.24591	P714	06 Oct 2022	P714\n22:05 - Drogheda to Dublin Connolly(-2 mins late)\nTERMINATED Dublin Connolly at 22:58	Southbound
T	53.378	-6.58993	D937	06 Oct 2022	D937\n22:08 - Dublin Pearse to Maynooth(2 mins late)\nTERMINATED Maynooth at 23:01	Northbound
T	53.4349	-6.46898	D320	06 Oct 2022	D320\n22:45 - Clonsilla to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 22:57	Northbound
T	53.4509	-6.15649	E846	06 Oct 2022	E846\n21:34 - Greystones to Malahide(-1 mins late)\nTERMINATED Malahide at 22:58	Northbound
